ID,Title,Artist,Genre,Year,Location,Duration
1,HERE IN MY HEART,AL MARTINO,POP,1952,Al Martino-Here In My Heart.mp3,183
2,CHANGING PARTNERS,BING CROSBY,MOTOWN & SOUL,1952,Bing Crosby-Changing Partners.mp3,166
3,SILENT NIGHT HOLY NIGHT,BING CROSBY,POP,1952,Bing Crosby-Silent Night Holy Night.mp3,160
4,YOU BELONG TO ME,JO STAFFORD,COUNTRY,1952,Jo Stafford-You Belong To Me.mp3,191
5,SUCH A NIGHT,JOHNNIE RAY,LIVE,1952,Johnnie Ray-Such A Night.mp3,145
6,TAKES TWO TO TANGO,LOUIS ARMSTRONG,1990s,1952,Louis Armstrong-Takes Two To Tango.mp3,166
7,BECAUSE YOU'RE MINE,MARIO LANZA,REGGAE,1952,Mario Lanza-Because You're Mine.mp3,212
8,A BLOSSOM FELL,NAT KING COLE,CLUB,1952,Nat King Cole-A Blossom Fell.mp3,151
9,HALF AS MUCH,ROSEMARY CLOONEY,2010s,1952,Rosemary Clooney-Half As Much.mp3,167
10,AUF WIEDERSEH'N SWEETHEART,VERA LYNN,REGGAE,1952,Vera Lynn-Auf Wiederseh'n Sweetheart.mp3,156
11,BECAUSE YOU'RE MINE,NAT KING COLE,COUNTRY,1953,Nat King Cole-Because You're Mine.mp3,192
12,ETERNALLY,JIMMY YOUNG,2000s,1953,Jimmy Young-Eternally.mp3,142
13,LOOK AT THAT GIRL,GUY MITCHELL,INDIE,1953,Guy Mitchell-Look At That Girl.mp3,172
14,GRANADA,FRANKIE LAINE,CLUB,1953,Frankie Laine-Garnada.mp3,178
15,CAN'T I?,NAT KING COLE,DISCO,1953,Nat King Cole-Can't I.mp3,193
16,KISS,DEAN MARTIN,1980s,1953,Dean Martin-Kiss.mp3,142
17,FLIRTATION WALTZ,WINIFRED ATWELL,LIVE,1953,Winifred Atwell-Flirtation Waltz.mp3,136
18,ANSWER ME,DAVID WHITFIELD,JAZZ,1953,David Whitfield-Answer Me.mp3,148
19,HEY JOE,FRANKIE LAINE,COUNTRY,1953,Frankie Laine-Hey Joe!.mp3,142
20,THE BRIDGE OF SIGHS,DAVID WHITFIELD,1950s,1953,David Whitfield-The Bridge Of Sighs.mp3,173
